Sun Jun  7 00:58:16 2026    profile.prof

         87521198 function calls (84105556 primitive calls) in 212.643 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1339773   34.309    0.000   34.309    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
     4232   27.994    0.007   27.994    0.007 {method 'tick' of 'pygame.time.Clock' objects}
   121277   11.232    0.000   18.654    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/benchmark_broadphase.py:77(query)
     1357   10.619    0.008   10.619    0.008 {built-in method pygame.image.load}
3751396/434881    9.580    0.000   12.984    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/QuadTree.py:228(_hit_into)
     4056    5.273    0.001  160.588    0.040 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Level4_tmxdev.py:1819(run)
     4983    5.107    0.001    5.107    0.001 {built-in method pygame.display.update}
 16616237    4.076    0.000    4.076    0.000 {method 'get' of 'dict' objects}
    26836    3.876    0.000    3.876    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
  7706335    3.765    0.000    3.765    0.000 {method 'colliderect' of 'pygame.rect.Rect' objects}
   117847    3.470    0.000   16.984    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Entity.py:893(check_effects)
     3414    3.048    0.001   29.501    0.009 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/YsortCameraGroup.py:175(custom_draw)
 10766912    2.772    0.000    2.772    0.000 {built-in method builtins.isinstance}
    23376    2.409    0.000    2.409    0.000 {method 'render' of 'pygame.font.Font' objects}
    59585    2.385    0.000   15.733    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Entity.py:59(move)
   876535    1.864    0.000   30.804    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/YsortCameraGroup.py:323(_update_single_sprite)
4625705/4625700    1.787    0.000    1.789    0.000 {built-in method builtins.hasattr}
   275516    1.773    0.000    1.969    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/combat_unit.py:363(get_target_distance_direction)
   173092    1.752    0.000    1.752    0.000 {built-in method pygame.transform.rotate}
   533056    1.659    0.000    4.088    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Interaction.py:289(should_aggro)
  1126142    1.525    0.000    1.920    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/hashRect.py:17(__hash__)
     3414    1.439    0.000   32.510    0.010 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/YsortCameraGroup.py:345(_update_batch)
   173092    1.421    0.000    6.920    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/GrassManager.py:300(render_blade)
  1971777    1.364    0.000    3.770    0.000 {method 'add' of 'set' objects}
   519761    1.332    0.000    1.332    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/hashRect.py:2(__init__)
  3467507    1.268    0.000    1.269    0.000 {built-in method builtins.getattr}
     4232    1.259    0.000    4.039    0.001 Main2.py:340(display_debug_info)
   444432    1.222    0.000    2.496    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/ItemVisual.py:29(update)
   220566    1.125    0.000    1.813    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/benchmark_broadphase.py:66(remove)
     1845    1.101    0.001    1.101    0.001 {built-in method pygame.mask.from_surface}
   111371    1.088    0.000    1.613    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/combat_unit.py:521(animate)
   332133    1.034    0.000    1.603    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Interaction.py:248(resolve_relation)
    62989    1.030    0.000   11.539    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Entity.py:662(collision)
   444432    0.992    0.000    1.102    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/ItemVisual.py:39(float_effect)
    62989    0.990    0.000    1.485    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Entity.py:309(_resolve_obstacle_collisions)
  1802075    0.975    0.000    0.975    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Interaction.py:240(resolve_faction)
    83230    0.965    0.000    1.490    0.000 /home/fresh/.local/lib/python3.10/site-packages/pygame/sprite.py:1737(<listcomp>)
     3414    0.958    0.000    5.075    0.001 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/DaytimeBrightnessOverlay.py:44(draw)
    85331    0.931    0.000    3.897    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Particles.py:237(update)
    13048    0.930    0.000    8.133    0.001 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/combat_unit.py:420(_pick_best_hostile)
   131803    0.912    0.000    2.253    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Entity.py:1142(_emit_effect_state_interaction)
   111216    0.905    0.000   26.027    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/combat_unit.py:439(select_hostile_target)
    21235    0.872    0.000    0.872    0.000 {built-in method pygame.draw.circle}
   582837    0.829    0.000    1.421    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/combat_unit.py:383(_is_valid_aggro_target)
     3414    0.819    0.000    3.973    0.001 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Level4_tmxdev.py:1431(enemy_projectile_logic)
   137250    0.799    0.000    2.086    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/benchmark_broadphase.py:47(upsert)
     1373    0.777    0.001    0.777    0.001 {method 'convert_alpha' of 'pygame.surface.Surface' objects}
  1386977    0.777    0.000    0.777    0.000 /usr/lib/python3.10/logging/__init__.py:1724(isEnabledFor)
   533056    0.756    0.000    5.067    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Interaction.py:389(can_aggro)
     2664    0.703    0.000    8.094    0.003 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/GrassManager.py:559(render_tile)
   258527    0.697    0.000    0.697    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/benchmark_broadphase.py:39(_cell_bounds_for_rect)
   180999    0.696    0.000    1.586    0.000 /usr/lib/python3.10/logging/__init__.py:1315(getLogger)
   216698    0.671    0.000    1.330    0.000 {built-in method builtins.sorted}
   142947    0.661    0.000    0.661    0.000 /home/fresh/.local/lib/python3.10/site-packages/pygame/sprite.py:382(sprites)
   876535    0.638    0.000    0.638    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/YsortCameraGroup.py:248(<lambda>)
    94038    0.632    0.000   14.414    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/combat_unit.py:664(update)
    52556    0.611    0.000    2.711    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/CombatStrategy.py:35(parry)
  1121056    0.610    0.000    0.610    0.000 {built-in method pygame.time.get_ticks}
   137250    0.592    0.000    1.009    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/benchmark_broadphase.py:31(_cell_coords_for_rect)
