id,name,region,crop_x_px,crop_y_px,crop_width_px,crop_height_px,overlap_buffer_px,core_polygon_points_px,generation_polygon_points_px,connections
01,Western Wallfoot,Frostreach,354,64,273,233,16,380:100|600:80|610:220|530:280|420:270|370:180,611:68|595:64|386:83|368:89|363:101|354:183|409:282|426:287|536:295|622:231|626:223|617:85,02;05
02,Glacial Basin,Frostreach,584,54,263,253,16,600:80|820:70|830:230|700:290|610:220,828:56|810:54|612:63|589:68|584:77|593:216|598:231|686:300|700:306|841:242|846:233|837:75|835:64,01;03;05;06
03,Pale Uplands,Frostreach,804,54,283,263,16,820:70|1060:80|1070:250|930:300|830:230,808:59|804:67|813:225|815:236|820:243|920:313|930:316|1069:268|1082:261|1086:253|1077:86|1071:68|1048:63|832:54|814:55,02;04;06
04,Howling Waste,Frostreach,1044,64,373,283,16,1060:80|1320:100|1400:180|1350:300|1180:330|1070:250,1048:69|1044:77|1053:244|1055:256|1060:263|1167:341|1180:346|1353:316|1362:311|1413:192|1416:177|1412:169|1331:88|1313:83|1066:64|1054:65,03;06;07
05,Western Expanse,Frostreach,404,204,313,223,16,420:270|530:280|610:220|700:290|680:380|580:410|470:370,715:284|709:276|628:213|610:204|596:210|525:264|420:254|409:258|404:267|405:277|459:382|579:426|681:397|692:391|697:380|716:295,01;02;06;08
06,Central Expanse,Frostreach,664,214,533,223,16,700:290|830:230|930:300|1070:250|1180:330|1100:410|900:420|680:380,664:383|668:391|677:396|898:436|1100:426|1111:422|1192:341|1196:327|1190:317|1076:235|1063:235|932:282|840:217|829:214|688:279|682:294,02;03;04;05;07;09;10
07,Bitter Floe Coast,Frostreach,1084,284,343,173,16,1180:330|1350:300|1410:350|1360:430|1280:440|1200:410|1100:410,1426:347|1418:335|1364:290|1350:284|1177:314|1169:318|1088:399|1084:413|1089:422|1100:426|1198:426|1279:456|1362:446|1371:442|1422:362,04;06;11;19
08,Blackpine Pass,Stonebreak,384,314,283,213,16,400:330|470:370|580:410|650:400|650:470|560:510|450:470,386:322|384:334|432:469|442:484|561:526|648:489|664:478|666:397|658:386|647:384|582:394|478:356|406:315|394:315,05;09;12
09,Stonebreak Spine,Stonebreak,634,364,283,183,16,650:400|680:380|900:420|880:500|760:530|650:470,635:394|634:473|638:481|754:545|768:545|884:516|891:512|896:504|916:425|915:414|906:405|682:364|670:367|640:387,06;08;10;12;13
10,Frostgate Passes,Stonebreak,864,394,273,163,16,900:420|1100:410|1120:500|1000:540|880:500,1136:495|1115:404|1106:395|1091:394|894:405|888:409|883:419|864:503|868:511|876:516|1001:556|1124:516|1134:508,06;09;11;13;14
11,Eastern Rainshadow,Stonebreak,984,394,253,193,16,1100:410|1200:410|1220:500|1180:560|1120:570|1000:540|1120:500,984:537|986:548|994:555|1123:586|1188:574|1236:503|1214:402|1208:396|1200:394|1092:396|1085:404|1084:415|1101:489|996:524|988:529,07;10;14;19;20
